"","category","name","price","ratings","no_of_reviews"
"1","Lipstick","Revlon Color Stay Satin Ink 013 Holy Pumpkin: Orange Brown (Yebe Boube), Hard to Fall Off, Light Tsuya Satin Mat, 0.2 fl oz (5 ml), Lip Color, Lipstick, REVLON COLORSTAY SATIN INK 013 Holy Pumpkin 3 Pieces","$34.67","3.9 out of 5 stars","689"
"2","Lipstick","Pack of 2 Maybelline New York SuperStay Matte Ink Liquid Lipstick, Individualist # 320","$78.06","4.3 out of 5 stars","32"
"3","Lipstick","Rimmel London Lasting Finish Extreme Lipstick - 800 Salty For Women 0.08 oz Lipstick","$27.80","4.1 out of 5 stars","527"
"4","Lipstick","Estee Lauder Pure Color Envy Sculpting Lipstick - # 542 Poetic 3.5g/0.12oz","$63.80","4.4 out of 5 stars","1,197"
"5","Lipstick","Revlon Lipstick, Super Lustrous Glass Shine Lipstick, High Shine Lipcolor with Moisturizing Creamy Formula, Infused with Hyaluronic Acid, Aloe and Rose Quartz, 002 Beaming Strawberry, 0.15 Oz","$35.71","4.1 out of 5 stars","5,645"
"6","Lipstick","Revlon Super Lustrous Matte Lipstick 4.2 g, No. 001 Nude Attitude","$28.79","4.2 out of 5 stars","5,360"
"7","Lipstick","Estee Lauder Pure Color Envy Sculpting Lipstick, No. 220 Powerful, 0.12 Ounce","$29.44","4.2 out of 5 stars","8,664"
"8","Lipstick","Wet N Wild Silk Finish Lipstick - Fuchsia w Blue Pearl","$39.73","5.0 out of 5 stars","1"
"9","Lipstick","L'Oréal Paris Rouge Signature Matte Lip Ink 116 I Explore","$4.99","4.1 out of 5 stars","95"
"10","Lipstick","Bobbi Brown Lip Color Raisin","$36.70","4.1 out of 5 stars","7,940"
"11","Lipstick","NYX Cosmetics Matte Lipstick Spirit","$42.00","4.3 out of 5 stars","4,418"
"12","Lipstick","ETUDE Dear Darling Water Tint Lipstick 9.5 g, 02 Cherry Ade","$33.17","4.4 out of 5 stars","7,292"
"13","Lipstick","Kiko Milano Unlimited Double Touch 114 | Liquid Lipstick With A Bright Finish In A Two-step Application. Lasts Up To 12 Hours*. No-transfer base Colour.","$28.53","4.4 out of 5 stars","1,080"
"14","Lipstick","Crystal Jelly Flower Lipstick, Color Changing Lipstick, 6Pcs Long Lasting Lip Balm Moisturizer, Lip Gloss Makeup Set, For Women Girls Girlfriend","$23.00","4.1 out of 5 stars","914"
"15","Lipstick","Designer Brands DB Longwear Lipstick Perfect Plum, 15 count Pack of 15","$28.99","4.4 out of 5 stars","9"
"16","Lipstick","Maybelline New York Superstay Matte Ink Liquid Lipstick - 75 Fighter","$33.89","4.0 out of 5 stars","101"
"17","Lipstick","Max Factor Colour Elixir Moisture Kiss Lipstick #085 Angel Pink 4G","$41.58","4.0 out of 5 stars","1,082"
"18","Lipstick","Bourjois Rouge Fabuleux Lipstick 04 Jolie Mauve",NA,"4.4 out of 5 stars","90"
"19","Lipstick","Maybelline New York Superstay Vinyl Ink Liquid Lipstick 4.2 ml, Upbeat",NA,"4.3 out of 5 stars","8,582"
"20","Lipstick","Rimmel (RIMMZ) Lasting Finish Matte Lipstick 145 Peach Petal",NA,"4.4 out of 5 stars","355"
"21","Lipstick","MAYBELLINE Lip SP Stay Vinil Ink 61 Dangerous Mahogany Brown",NA,"4.1 out of 5 stars","1,121"
"22","Lipstick","L’Oréal Paris Colour Riche Satin Lipstick 111 Oui",NA,"4.4 out of 5 stars","6,587"
"23","Lipstick","L'Oreal Color Riche Lipstick",NA,"4.3 out of 5 stars","315"
"24","Lipstick","Kiko MILANO - Smart Fusion Lipstick Rich and Nourishing Lipstick With a Bright Finish | Long Lasting Lipstick | 405 Rose | Cruelty Free Makeup | Professional Makeup Lipstick | Made in Italy",NA,"4.5 out of 5 stars","517"
"25","Lipstick","Rimmel lasting finish extreme lipstick",NA,"4.4 out of 5 stars","5,425"
"26","Lipstick","Tim McGraw and Faith Hill: Country Lovin'",NA,"4.5 out of 5 stars","1,083"
"27","Lipstick","Exhibitionist Demi Matte Lipstick - 470 Peacock by CoverGirl for Women - 0.12 oz Lipstick",NA,"4.2 out of 5 stars","1,300"
"28","Lipstick","NYX PROFESSIONAL MAKEUP Liquid Suede Cream Lipstick, Club Hopper, 0.13 Fluid Ounce",NA,"4.1 out of 5 stars","380"
"29","Lipstick","Elizabeth Arden Beautiful Color Moisturizing Lipstick",NA,"4.4 out of 5 stars","4,155"
"30","Lipstick","TheBalm Meet Matte Huges",NA,"4.3 out of 5 stars","802"
"31","Lipstick","NYX PROFESSIONAL MAKEUP Soft Matte Lip Cream, Budapest, 0.27 Fluid Ounce",NA,"4.4 out of 5 stars","271"
"32","Lipstick","Revlon Super Lustrous Lipstick 4.2 g, No. 225 Rosewine",NA,"3.7 out of 5 stars","1,754"
"33","Lipstick","e.l.f. - SRSLY Satin Lipstick Cherry - 0.12 oz (3.5 g)",NA,"3.6 out of 5 stars","107"
"34","Lipstick","L'Oréal Paris Color Riche 118 French Made",NA,"4.1 out of 5 stars","37"
"35","Lipstick","L'Oréal Paris Colour Riche Matte Lipstick, Velvet Smooth, with Precious Camellia and Jojoba Oils, 636 Mahogany Studs",NA,"4.2 out of 5 stars","314"
"36","Lipstick","Revlon ColorStay Lipstick Suede Ink Hot Girl",NA,"4.0 out of 5 stars","117"
"37","Lipstick","L'Oréal Paris Infallible 2 Step Lipstick Parisian Nude 801 Toujours Toffee",NA,"4.2 out of 5 stars","1,348"
"38","Lipstick","KIKO Milano Long Lasting Colour Lip Marker 106 | Lipstick No Transfer, Natural Tattoo Effect and Extremely Long Lasting (10 Hours)",NA,"4.0 out of 5 stars","189"
"39","Lipstick","Covergirl Exhibitionist Ultra Matte Lipstick #600 Stay With Me 2.8G",NA,"3.7 out of 5 stars","38"
"40","Lipstick","Rimmel London Stay Satin Liquid Lip Colour 5.5 ml, 850 Atomic",NA,"4.1 out of 5 stars","356"
"41","Lipstick","Estee Lauder Pure Color Envy Sculpting Lipstick","$32.18","4.0 out of 5 stars","1"
"42","Lipstick","Gireatick 2Pcs Magic Color Change Lipstick Set, Blue Changed into Pink Lip Gloss, Moisturizer Long Lasting Nutritious Lip Balm for Women Girls","$64.63","3.8 out of 5 stars","84"
"43","Lipstick","Rimmel London Lasting Finish Extreme Lipstick 2.3 g, 700 X-Tremely Bare","$39.70","4.0 out of 5 stars","304"
"44","Lipstick","3Ina The Lipstick - 845 Sky Blue For Women 0.16 oz Lipstick","$40.86","4.4 out of 5 stars","157"
"45","Lipstick","Revlon Colorstay Matte Lite Crayon Lipstick, 001 Tread Lightly, 1.4 g","$24.63","4.3 out of 5 stars","1,592"
